"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","PPCC_test","wilcoxon_pvalue"
"41","Butyl benzyl phthalate sediment  (ug/Kg)","A",43.9,57,32,25,21.5,60000,1,1300,1831.5191503111,1087.67990755099,-300.294295196697,3963.3325958189,NA,96,450,2500,8211.80322058058,NA,NA,NA,NA,NA,NA,0.988236293155219,0.0209284635926988,9.7381285799612,3,"do not reject Ho",0.0807700203418026
"42","Butyl benzyl phthalate water  (ug/L)","B",77.4,633,143,490,0.022,2.82,0.018,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175978929315618,0.0481630905320374,0.0994876368587093,0.22,0.419233919621656,0.223425145870695,0.98336526993374,NA,NA,NA,"reject Ho",0.612705987519056
"43","Cadmium sediment  (ug/Kg)","A",10,80,72,8,0.781,4900,2.5,500,948.058011862459,97.1164565021132,757.713254812166,1138.40276891275,322.000000000001,819.000000000001,1300,1860,868.635993890506,NA,NA,NA,NA,NA,NA,0.866294920356785,8.00897238650844e-06,26.362200801645,3,"reject Ho",0.676466728986486
"44","Cadmium water  (ug/L)","A",26.6,639,469,170,0.011,10.1,0.025,1,0.247012499411771,0.0298310147631809,0.188544784853653,0.305480213969888,0.0500000000000007,0.114000000000001,0.219000000000001,0.383000000000001,0.754081794841193,NA,NA,NA,NA,NA,NA,0.980955815182001,2.2595569252253e-37,173.476851707442,3,"reject Ho",0.000160115867540357
"45","Cadmium water dissolved (ug/L)","A",47.6,635,333,302,0.003,1.85,0.007,0.4,0.0610584708461249,0.00452728605499953,0.0521851532306154,0.0699317884616344,0.0210000000000004,0.0390000000000001,0.0660000000000003,0.11,0.114084015445235,NA,NA,NA,NA,NA,NA,0.990118930467807,1.14838716012233e-32,151.671924423842,3,"do not reject Ho",0.0260778005210631
"46","Calcium water  (ug/L)","A",0,353,353,0,620,357000,NA,NA,8947.13031161475,1109.15839223175,6773.21980969017,11121.0408135393,3300,5710,10000,16000,20839.1942187676,NA,NA,NA,NA,NA,NA,0.990062028242735,1.02669503432397e-69,323.036398012187,3,"do not reject Ho",0.0350139177016532
"47","Calcium water dissolved (ug/L)","A",0,2,2,0,1640,2500,NA,NA,2070,430,1227.21548664778,2912.78451335222,1640,NA,NA,NA,608.111831820431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Chloride water  (ug/L)","A",2,551,540,11,55,1080000,100,250,12152.9644003909,2628.44563230375,7001.30562575394,17304.6231750278,1500,3300,6990,13700,61698.5272881706,NA,NA,NA,NA,NA,NA,0.981950727606194,6.32425501504744e-16,73.8712238046823,3,"reject Ho",0.179582536950971
"49","Chlorpyrifos sediment  (ug/Kg)","C",98.1,53,1,52,15,15,0.1,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422678074170635
"50","Chlorpyrifos water  (ug/L)","C",99.8,644,1,643,0.022,0.022,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0392503304676929
"51","Chrysene sediment  (ug/Kg)","A",7.6,79,73,6,1.07,280000,1,220,25306.5307172996,5683.33982906633,14167.3893404275,36445.6720941716,220,1100,34000,77000,50514.6293404147,NA,NA,NA,NA,NA,NA,0.967018952821977,1.13826336272105e-05,25.6330421369183,3,"reject Ho",0.0204404029443107
"52","Chrysene water  (ug/L)","B",54.1,634,291,343,0.003,16,0.003,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259378393655053,0.00531853030395244,0.02,0.101,0.2858,1.26987564585303,0.995527841944386,NA,NA,NA,"do not reject Ho",0.148868014090946
"53","Conductivity water  (uS/cm)","A",0.2,637,636,1,5.3,4020,18,18,131.615263121972,13.5496836348416,105.058371195771,158.172155048173,33.5,72.3000000000002,123,183,341.978553782157,NA,NA,NA,NA,NA,NA,0.982796687722041,2.52225536944807e-55,256.537496435611,3,"reject Ho",0.0320749356993383
"54","Copper sediment  (ug/Kg)","A",0,78,78,0,156,1260000,NA,NA,151801.743589743,24203.6333095762,104363.49400796,199239.993171527,23900,81000,197000,395000,213760.701486464,NA,NA,NA,NA,NA,NA,0.956841457340833,1.44468502605299e-07,34.6495169088263,3,"reject Ho",0.753322328645919
"55","Copper water  (ug/L)","A",1.4,652,643,9,0.38,218,0.1,0.5,17.0153374233129,0.794141710394016,15.4588482723196,18.5718265743062,4.75,10.4,21.6,38.6,20.27784526606,NA,NA,NA,NA,NA,NA,0.996635359873424,7.10826426857124e-60,277.569349955293,3,"do not reject Ho",0.00317192405486749
"56","Copper water dissolved (ug/L)","A",2.8,602,585,17,0.62,122,0.1,12.5,6.44017765831903,0.40111272592274,5.65401116176977,7.22634415486828,2.23999999999998,3.89999999999998,6.78999999999999,13.4,9.84157681350388,NA,NA,NA,NA,NA,NA,0.990222555102706,8.82385636485562e-35,161.471054756873,3,"do not reject Ho",3.68815062997394e-24
"57","CPAH sediment  (ug/Kg)","A",6.1,82,77,5,1.07,1453000,1,220,104752.621189024,24744.5924369675,56254.1112004458,153251.131177603,708,3130,123700,273000,224071.814602983,NA,NA,NA,NA,NA,NA,0.957274609841531,1.37255775817247e-05,25.244502790091,3,"reject Ho",0.0603130434737768
"58","CPAH water  (ug/L)","A",48.4,634,327,307,0.004,83.3,0.007,1.1,1.22328866233687,0.263130881220598,0.707561611924211,1.73901571274953,0.00900000000000034,0.0439999999999969,0.233099999999993,1.3,6.62546629704828,NA,NA,NA,NA,NA,NA,0.986194482804495,7.92431236698483e-22,101.360420511206,3,"reject Ho",0.535288887871435
"59","Di-N-Octyl Phthalate sediment  (ug/Kg)","B",71.4,56,16,40,116,10000,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,570.467934920004,18.4721284296408,31.0369473231448,260,1150,1839.20062648661,0.97374761056888,NA,NA,NA,"do not reject Ho",0.884759502478324
