"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"101","Malathion sediment  (ug/Kg)","C",98.1,53,1,52,16,16,0.1,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Malathion water  (ug/L)","C",98.9,643,7,636,0.027,0.2,0.008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Mecoprop sediment  (ug/Kg)","C",91.7,12,1,11,6500,6500,10,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Mecoprop water  (ug/L)","C",89.6,616,64,552,0.02,28,0.02,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Mercury sediment  (ug/Kg)","A",17.6,68,56,12,10,442,5,61,108.584967320261,10.6268258159271,87.7567714510638,129.413163189459,80,87.6310506082161,0.00429866057566786,13.1621951339092,3,0.970338881336218,"reject Ho",NA,NA,NA,NA,NA,NA
"106","Mercury water  (ug/L)","B",77.2,456,104,352,0.002,2100,0.02,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.835420255193632,"reject Ho",0.0257421694664035,0.00366889345169816,0.0209514291789289,0.031628357339149,0.00803546659456833,0.078346124964293
"107","Mercury water dissolved (ug/L)","C",91.2,444,39,405,0.001,0.4,0.001,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Motor Oil sediment  (ug/Kg)","A",0,22,22,0,820000,1.7e+07,NA,NA,7637272.72727273,862692.147319559,5946427.18878087,9328118.26576459,8100000,4046384.84366358,NA,NA,NA,0.945635840934898,"reject Ho",NA,NA,NA,NA,NA,NA
"109","Motor Oil water  (ug/L)","A",18.1,105,86,19,200,5800,200,500,1195.14285714286,97.4819179609777,1004.08180879545,1386.20390549026,930,998.892413917451,0.000221370674636789,16.8313440013555,2,0.988987678539393,"do not reject Ho",NA,NA,NA,NA,NA,NA
"110","Naphthalene sediment  (ug/Kg)","A",40.5,79,47,32,1.02,6900,0.1,530,436.514519790845,108.704710881951,223.457201512383,649.571838069308,23.5,966.188604396859,1.70274999544695e-07,34.3115325464097,3,0.962429866679429,"reject Ho",NA,NA,NA,NA,NA,NA
"111","Naphthalene water  (ug/L)","B",62.9,628,233,395,0.004,2.2,0.005,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982910486846488,"reject Ho",0.0453185013302923,0.0042343770476442,0.0390580628251943,0.0525823969308311,0.0177991998784569,0.106113184668329
"112","Nitrite-Nitrate water dissolved (ug/L)","A",3.9,584,561,23,12,58000,10,770,548.206097474591,101.027461681006,350.195911130318,746.216283818864,245,2441.43892817433,5.83658135345348e-14,64.6923815301155,3,0.994849018613366,"do not reject Ho",NA,NA,NA,NA,NA,NA
"113","o-Cresol sediment  (ug/Kg)","C",81.4,43,8,35,5.66,67,1,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Oil and grease water  (ug/L)","C",94.3,35,2,33,500,670,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Ortho-phosphate water dissolved (ug/L)","A",7.8,590,544,46,4,270,3,22.3,32.2329370903237,1.39064436920162,29.5073242113851,34.9585499692622,21.6,33.7786343616697,1.03191804739459e-14,68.2092438540819,3,0.9978105250265,"do not reject Ho",NA,NA,NA,NA,NA,NA
"116","p-Cresol sediment  (ug/Kg)","A",23.3,43,33,10,2.46,24100,1,440,1467.71608209303,686.7606160402,121.690008653694,2813.74215553236,180,4503.39052059538,0.00790292508064627,11.8533110885897,3,0.967144893066125,"do not reject Ho",NA,NA,NA,NA,NA,NA
"117","p-Cresol water  (ug/L)","C",92.3,26,2,24,0.354,0.362,0.047,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","PCB-aroclor 1016 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","PCB-aroclor 1016 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","PCB-aroclor 1221 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","PCB-aroclor 1221 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","PCB-aroclor 1232 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","PCB-aroclor 1232 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","PCB-aroclor 1242 sediment  (ug/Kg)","C",100,33,0,33,NA,NA,0.05,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","PCB-aroclor 1242 water  (ug/L)","C",100,27,0,27,NA,NA,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","PCB-aroclor 1248 sediment  (ug/Kg)","C",93.9,33,2,31,38,45,0.05,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","PCB-aroclor 1248 water  (ug/L)","C",96.3,27,1,26,0.014,0.014,0.01,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","PCB-aroclor 1254 sediment  (ug/Kg)","B",54.5,33,15,18,5.9,650,0.05,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971480633880137,"do not reject Ho",NA,NA,NA,NA,NA,NA
"129","PCB-aroclor 1254 water  (ug/L)","A",48.1,27,14,13,0.01,0.058,0.005,0.05,0.0170130594460006,0.00219625046768635,0.0127084876283061,0.0213176312636951,0.011,0.011412052188539,1.36247105486653e-07,31.6175912956564,2,0.991219474391296,"do not reject Ho",NA,NA,NA,NA,NA,NA
"130","PCB-aroclor 1260 sediment  (ug/Kg)","B",72.7,33,9,24,7.2,120,0.05,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871749588055338,"reject Ho",NA,NA,NA,NA,NA,NA
"131","PCB-aroclor 1260 water  (ug/L)","B",74.1,27,7,20,0.01,0.038,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983277465235955,"do not reject Ho",NA,NA,NA,NA,NA,NA
"132","Pentachlorophenol sediment  (ug/Kg)","B",75.3,77,19,58,7.8,17800,1,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.958204144856499,"do not reject Ho",2564.16431025111,284739.163181308,253.673255455129,25918.92707873,2.63147292855058,2498576.01661181
"133","Pentachlorophenol water  (ug/L)","B",74.6,591,150,441,0.02,5.1,0.02,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991825638902097,"do not reject Ho",0.164387136327175,0.0190205314701862,0.138346959378118,0.195328691800099,0.0550649729435031,0.462398469816164
"134","pH water  (pH)","A",0,224,224,0,5.6,8.26,NA,NA,6.90379464285714,0.0285842941222462,6.84777045585404,6.95981882986024,7,0.427810540992885,0.000168442726637297,17.3778295344279,2,0.983583070424834,"reject Ho",NA,NA,NA,NA,NA,NA
"135","Phenanthrene sediment  (ug/Kg)","A",6.4,78,73,5,2.16,250000,0.1,500,24296.8876730769,5575.07742744919,13369.9367042543,35223.8386418995,950,49237.7506504935,1.9205493488772e-05,24.5466172527605,3,0.977129089147317,"reject Ho",NA,NA,NA,NA,NA,NA
"136","Phenanthrene water  (ug/L)","A",48.2,633,328,305,0.006,16,0.003,1.1,0.238108279286326,0.0510997779659017,0.137954554855165,0.338262003717487,0.0259999999999998,1.28564441665186,1.32586766835973e-25,118.908504540579,3,0.961129729708547,"reject Ho",NA,NA,NA,NA,NA,NA
"137","Phenol sediment  (ug/Kg)","B",57.1,49,21,28,4.52,1200,1,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981107568737259,"do not reject Ho",NA,NA,NA,NA,NA,NA
"138","Phenol water  (ug/L)","B",69.2,26,8,18,0.098,2.16,0.047,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963493021233132,"do not reject Ho",NA,NA,NA,NA,NA,NA
"139","Precipitation water  (in)","A",0,589,589,0,0.06,4.38,NA,NA,0.648811544991511,0.0216753894038376,0.606328562409108,0.691294527573913,0.49,0.526047009231027,0.0341051669243544,10.40680932835,4,0.997652117317724,"do not reject Ho",NA,NA,NA,NA,NA,NA
"140","Prometon sediment  (ug/Kg)","C",100,15,0,15,NA,NA,0.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Prometon water  (ug/L)","C",96.4,607,22,585,0.024,3.21,0.005,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Pyrene sediment  (ug/Kg)","A",5.1,79,75,4,1.37,490000,1,500,41626.3538517179,9549.35701978236,22909.9580174297,60342.7496860061,1800,84876.541752183,7.26723221233794e-06,26.5636690298459,3,0.972074519467172,"reject Ho",NA,NA,NA,NA,NA,NA
"143","Pyrene water  (ug/L)","A",36.7,633,401,232,0.007,26,0.0094,1.1,0.426181200730896,0.0860769550168636,0.257473468998969,0.594888932462823,0.0479999999999947,2.16565239664386,4.04795993214015e-34,158.405443787119,3,0.970937104983559,"reject Ho",NA,NA,NA,NA,NA,NA
"144","Sampled-Event Flow Volume water  (m3)","A",0,600,600,0,2,201358.4825,NA,NA,4133.72513881406,684.109164390998,2792.89581511391,5474.5544625142,367.90281,16757.1838111972,3.63147290238786e-07,32.7528052616475,3,0.996569532268884,"do not reject Ho",NA,NA,NA,NA,NA,NA
"145","Sand sediment  (%)","A",0,73,73,0,5.3,150.8,NA,NA,74.6112328767123,3.16513793876838,68.407676510625,80.8147892427997,77.3,27.0429504032837,0.243264412369774,4.17413343016375,3,0.82179496896729,"reject Ho",NA,NA,NA,NA,NA,NA
"146","Solids sediment  (%)","A",0,82,82,0,0.2,97.8,NA,NA,49.0341463414634,2.0591064470224,44.9983718649653,53.0699208179615,47.3,18.6460019182096,0.934089821896625,0.429468973281471,3,0.745305487604073,"reject Ho",NA,NA,NA,NA,NA,NA
"147","Storm Event Flow Volume water  (m3)","A",0,622,622,0,2.2,336888.3492,NA,NA,5687.33110751096,961.492671774378,3802.84009943399,7571.82211558793,449.948288599961,23979.5578399346,4.05261983582594e-06,27.773257546314,3,0.996995399901629,"do not reject Ho",NA,NA,NA,NA,NA,NA
"148","Surfactants water  (ug/L)","A",36.6,607,385,222,17,920,16,96,74.1302604090541,3.7481442545248,66.7840326613248,81.4764881567834,47,92.344416772783,5.38461909412594e-19,88.1812589184537,3,0.998717984935151,"do not reject Ho",NA,NA,NA,NA,NA,NA
"149","Toluene water  (ug/L)","C",97.5,120,3,117,1.1,2.07,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Total Benzofluoranthenes sediment  (ug/Kg)","A",11.5,78,69,9,1.07,470000,0.1,220,44006.5200904977,9907.01512306316,24589.1272550002,63423.9129259951,1400,87496.3884659873,5.46183571616954e-05,22.3705003047782,3,0.960728891206481,"reject Ho",NA,NA,NA,NA,NA,NA
"151","Total Benzofluoranthenes water  (ug/L)","B",61.7,634,243,391,0.005,26,0.003,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996719859514888,"do not reject Ho",0.644727506108937,0.898984500580098,0.413928405819856,1.00421607043406,0.0183560602281644,22.6358513395803
"152","Total Kjeldahl Nitrogen water  (ug/L)","A",10.4,585,524,61,100,25000,30,600,1198.14156143094,68.0426617764765,1064.78039493681,1331.50272792508,863,1645.73243136676,1.13016412550682e-06,30.4123503786039,3,0.985066076054189,"reject Ho",NA,NA,NA,NA,NA,NA
"153","Total Organic Carbon sediment  (%)","A",0,80,80,0,0.00164,68,NA,NA,12.7093055,1.15587529078145,10.4438315594486,14.9747794405514,11,10.3384628947987,0.0209258734720241,9.73839947828973,3,0.82808075130219,"reject Ho",NA,NA,NA,NA,NA,NA
"154","Total PAH sediment  (ug/Kg)","A",1.2,86,85,1,4.1,2990960,220,220,265874.419169435,59642.5629081866,148977.143923725,382771.694415145,6728,553102.374504125,2.98946268162403e-06,28.4027627455463,3,0.979264148918591,"reject Ho",NA,NA,NA,NA,NA,NA
"155","Total PAH water  (ug/L)","A",27,634,463,171,0.021,172.52,0.0094,2.2,2.73719270107685,0.553664551605484,1.65203012041359,3.82235528174012,0.162000000000035,13.9409171949572,5.81318108422368e-30,139.132919612499,3,0.975154330071923,"reject Ho",NA,NA,NA,NA,NA,NA
"156","Total PCB sediment  (ug/Kg)","A",48.5,33,17,16,8.48,770,0.05,51,80.6614636483411,27.0160703451513,27.7109387680439,133.611988528638,9.59999999999991,155.195508561,0.242759971511109,4.17912722701945,3,0.982140168939906,"do not reject Ho",NA,NA,NA,NA,NA,NA
"157","Total PCB water  (ug/L)","A",44.4,27,15,12,0.01,0.096,0.01,0.025,0.0217030092592593,0.00417259451927016,0.0135248742794005,0.029881144239118,0.011,0.0216814371202781,7.29882205341426e-07,28.2607653568642,2,0.990274675899827,"do not reject Ho",NA,NA,NA,NA,NA,NA
"158","Total Phosphorus sediment  (ug/Kg)","A",0,3,3,0,35000,1850000,NA,NA,845333.333333333,532879.077381643,-199090.466449619,1889757.13311629,651000,922973.636315433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Total Phosphorus water  (ug/L)","A",3.3,605,585,20,8,4600,5,137,155.581929847648,9.17889322163384,137.591629715307,173.572229979989,110,225.770921219638,2.35573244800058e-07,33.6437294662127,3,0.994076086828764,"do not reject Ho",NA,NA,NA,NA,NA,NA
"160","Total Phthalate sediment  (ug/Kg)","A",11.9,67,59,8,21.5,94000,20,2200,7781.49806522941,1653.14057545676,4541.40207595234,11021.5940545065,3970,13531.5387916098,0.0034110684049401,13.6571061337832,3,0.93889695015671,"reject Ho",NA,NA,NA,NA,NA,NA
"161","Total Phthalate water  (ug/L)","A",23.5,634,485,149,0.032,41.4,0.407,5.8,2.36363787046867,0.154757600730227,2.0603185467036,2.66695719423375,1.16,3.89669681906538,1.65237344124575e-34,160.208623966803,3,0.998652995465304,"do not reject Ho",NA,NA,NA,NA,NA,NA
"162","Total Suspended Solids water  (ug/L)","A",0.6,625,621,4,1000,4700000,500,5000,63115.2551489365,7986.78951298755,47461.4353513787,78769.0749464943,31000,199669.737824689,1.45372602844418e-12,58.1589850978407,3,0.996386655673929,"do not reject Ho",NA,NA,NA,NA,NA,NA
"163","Total TPHDx sediment  (ug/Kg)","A",0,38,38,0,120000,23700000,NA,NA,6714868.42105263,965853.648599822,4821830.05546037,8607906.78664489,4300000,5953921.75624742,0.0045172757585723,10.7996923502402,2,0.953581986062858,"reject Ho",NA,NA,NA,NA,NA,NA
"164","Total TPHDx water  (ug/L)","A",27.3,579,421,158,14,12100,70,570,969.844482497621,59.8313632972792,852.577165289022,1087.11179970622,433,1439.68732289076,4.32422031432079e-21,97.9329285081584,3,0.990228208877341,"do not reject Ho",NA,NA,NA,NA,NA,NA
"165","Total Xylenes water  (ug/L)","C",99.2,120,1,119,1.73,1.73,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","TPHGx water  (ug/L)","C",97.1,35,1,34,50,50,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Triclopyr sediment  (ug/Kg)","C",91.7,12,1,11,310,310,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Triclopyr water  (ug/L)","C",89,575,63,512,0.02,18.3,0.05,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Turbidity water  (NTU)","A",0,548,548,0,0.98,500,NA,NA,31.9679744525547,1.96076119696977,28.1249531242103,35.8109957808991,17.3,45.9002428142292,1.81827611485989e-14,67.0597907700585,3,0.997659510726212,"do not reject Ho",NA,NA,NA,NA,NA,NA
"170","Zinc sediment  (ug/Kg)","A",0,80,80,0,366,9250000,NA,NA,548766.325,119350.271944929,314844.090442879,782688.559557121,373000,1067501.28480779,4.21025710739542e-07,32.4482177831768,3,0.929764756739512,"reject Ho",NA,NA,NA,NA,NA,NA
"171","Zinc water  (ug/L)","A",1,630,624,6,1.4,1290,0.5,1,103.501650793651,5.35106950237196,93.0137472902311,113.989554297071,70.5999999999999,134.310778555206,1.01927339735123e-61,286.088875665877,3,0.988072352976867,"do not reject Ho",NA,NA,NA,NA,NA,NA
"172","Zinc water dissolved (ug/L)","A",2.6,608,592,16,0.219,1090,0.5,36.5,53.4099323064096,4.26014696027945,45.0601976954141,61.7596669174051,26.8999999999999,105.045238306609,3.65032665993952e-42,195.662467309646,3,0.981591399512592,"reject Ho",NA,NA,NA,NA,NA,NA
