"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"30","Benzo(b,k)fluoranthene water  (ug/L)","B",50.8,126,62,64,0.005,0.315,0.003,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991301685275609,"do not reject Ho",0.0206148151179522,0.00338587422598703,0.0155816459654971,0.0272737940066392,0.0098288258096102,0.0380063439250556
"31","Benzo(g,h,i)perylene sediment  (ug/Kg)","A",11.3,71,63,8,4,160000,1,500,17140.2533935671,3755.6560666785,9779.30276455792,24501.2040225763,800,31645.7205143714,0.000183553838803974,19.8360397295551,3,0.969171022781142,"reject Ho",NA,NA,NA,NA,NA,NA
"32","Benzo(g,h,i)perylene water  (ug/L)","B",60,633,253,380,0.004,12,0.003,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995124602591425,"do not reject Ho",0.205621668810988,0.10098679056682,0.148174059858829,0.285341919664601,0.0165864626709345,2.54077627371412
"33","Benzo(k)fluoranthene sediment  (ug/Kg)","A",28.9,45,32,13,10.2,230000,0.1,530,17011.7073222611,6084.75009377835,5085.81628352882,28937.5983609934,131,40817.7445073598,0.00126717231915929,15.7646659403032,3,0.967766553593456,"do not reject Ho",NA,NA,NA,NA,NA,NA
"34","Benzo(k)fluoranthene water  (ug/L)","B",76,359,86,273,0.014,13,0.0094,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99383716505329,"do not reject Ho",0.669761882888648,3.1692337344592,0.323935575438011,1.38478454910053,0.00746985803813823,60.0484075096474
"35","Benzofluoranthenes, Total sediment  (ug/Kg)","A",0,34,34,0,177,340000,NA,NA,83220.5882352941,15731.4668042444,52387.4798749876,114053.696595601,57000,91729.4261709049,0.0322663657379468,8.78663775715431,3,0.937771355305971,"reject Ho",NA,NA,NA,NA,NA,NA
"36","Benzofluoranthenes, Total water  (ug/L)","B",54.4,149,68,81,0.0666,5.7,0.0094,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991578145001823,"do not reject Ho",0.384026651393602,0.135656540020049,0.248332141804465,0.593867825199629,0.0867586952625383,1.65589910039274
"37","Biochemical Oxygen Demand water  (ug/L)","A",21.6,538,422,116,1100,68000,1000,15000,6228.36724862655,328.589648073818,5584.34337270918,6872.39112454393,3900,7621.58004418022,1.35219968898653e-23,109.578515808776,3,0.997046159205981,"do not reject Ho",NA,NA,NA,NA,NA,NA
"38","Bis(2-ethylhexyl) phthalate sediment  (ug/Kg)","A",7.3,55,51,4,21.6,34000,20,2200,6855.87853535353,1006.57497224403,4883.02784201582,8828.72922869125,4800,7464.95978630457,6.51452225497451e-11,50.4160819877519,3,0.91920055665417,"reject Ho",NA,NA,NA,NA,NA,NA
"39","Bis(2-ethylhexyl) phthalate water  (ug/L)","A",38.1,622,385,237,0.15,41.4,0.024,10.1,2.11821988630895,0.151750541478641,1.82079429037637,2.41564548224154,0.976999999999997,3.78464755213688,9.97007333472235e-43,198.271207206957,3,0.997712125795984,"do not reject Ho",NA,NA,NA,NA,NA,NA
