"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"49","Chlorpyrifos sediment  (ug/Kg)","FALSE",52,"Chlorpyrifos sediment  (ug/Kg)","FALSE",52,"Chlorpyrifos sediment  (ug/Kg)","FALSE",52
"50","Chlorpyrifos water  (ug/L)","FALSE",644,"Chlorpyrifos water  (ug/L)","FALSE",644,"Chlorpyrifos water  (ug/L)","FALSE",643
"51","Chrysene sediment  (ug/Kg)","FALSE",6,"Chrysene sediment  (ug/Kg)","FALSE",6,"Chrysene sediment  (ug/Kg)","FALSE",6
"52","Chrysene water  (ug/L)","FALSE",343,"Chrysene water  (ug/L)","FALSE",343,"Chrysene water  (ug/L)","FALSE",343
"53","Conductivity water  (uS/cm)","FALSE",1,"Conductivity water  (uS/cm)","FALSE",1,"Conductivity water  (uS/cm)","FALSE",1
"54","Copper sediment  (ug/Kg)","FALSE",0,"Copper sediment  (ug/Kg)","FALSE",0,"Copper sediment  (ug/Kg)","FALSE",0
"55","Copper water  (ug/L)","FALSE",156,"Copper water  (ug/L)","FALSE",113,"Copper water  (ug/L)","FALSE",9
"56","Copper water dissolved (ug/L)","FALSE",298,"Copper water dissolved (ug/L)","FALSE",253,"Copper water dissolved (ug/L)","FALSE",17
"57","CPAH sediment  (ug/Kg)","FALSE",5,"CPAH sediment  (ug/Kg)","FALSE",5,"CPAH sediment  (ug/Kg)","FALSE",5
"58","CPAH water  (ug/L)","FALSE",322,"CPAH water  (ug/L)","FALSE",322,"CPAH water  (ug/L)","FALSE",322
"59","Di-N-Octyl Phthalate sediment  (ug/Kg)","FALSE",40,"Di-N-Octyl Phthalate sediment  (ug/Kg)","FALSE",40,"Di-N-Octyl Phthalate sediment  (ug/Kg)","FALSE",40
"60","Di-N-Octyl Phthalate water  (ug/L)","FALSE",561,"Di-N-Octyl Phthalate water  (ug/L)","FALSE",561,"Di-N-Octyl Phthalate water  (ug/L)","FALSE",561
