"","Var1","Var2","Freq","Var1.1","Var2.1","Freq.1","Var1.2","Var2.2","Freq.2"
"333","Total Phthalate water  (ug/L)","TRUE",0,"Total Phthalate water  (ug/L)","TRUE",0,"Total Phthalate water  (ug/L)","TRUE",0
"334","Total Suspended Solids water  (ug/L)","TRUE",0,"Total Suspended Solids water  (ug/L)","TRUE",0,"Total Suspended Solids water  (ug/L)","TRUE",0
"335","Total TPHDx sediment  (ug/Kg)","TRUE",0,"Total TPHDx sediment  (ug/Kg)","TRUE",0,"Total TPHDx sediment  (ug/Kg)","TRUE",0
"336","Total TPHDx water  (ug/L)","TRUE",0,"Total TPHDx water  (ug/L)","TRUE",0,"Total TPHDx water  (ug/L)","TRUE",0
"337","Total Xylenes water  (ug/L)","TRUE",0,"Total Xylenes water  (ug/L)","TRUE",0,"Total Xylenes water  (ug/L)","TRUE",0
"338","TPHGx water  (ug/L)","TRUE",0,"TPHGx water  (ug/L)","TRUE",0,"TPHGx water  (ug/L)","TRUE",0
"339","Triclopyr sediment  (ug/Kg)","TRUE",0,"Triclopyr sediment  (ug/Kg)","TRUE",0,"Triclopyr sediment  (ug/Kg)","TRUE",0
"340","Triclopyr water  (ug/L)","TRUE",0,"Triclopyr water  (ug/L)","TRUE",0,"Triclopyr water  (ug/L)","TRUE",0
"341","Turbidity water  (NTU)","TRUE",0,"Turbidity water  (NTU)","TRUE",0,"Turbidity water  (NTU)","TRUE",0
"342","Zinc sediment  (ug/Kg)","TRUE",0,"Zinc sediment  (ug/Kg)","TRUE",0,"Zinc sediment  (ug/Kg)","TRUE",0
"343","Zinc water  (ug/L)","TRUE",432,"Zinc water  (ug/L)","TRUE",450,"Zinc water  (ug/L)","TRUE",0
"344","Zinc water dissolved (ug/L)","TRUE",218,"Zinc water dissolved (ug/L)","TRUE",242,"Zinc water dissolved (ug/L)","TRUE",0
