"","parameter","location","x.NAs","x.count","x.quant.0%","x.quant.25%","x.quant.50%","x.quant.75%","x.quant.100%"
"84","Di-N-Octyl Phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,3.192000e-07,8.359200e-06,1.651610e-05,3.749160e-05,4.393500e-04
"85","Diazinon","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,3.649000e-07,1.352300e-06,2.693700e-06,9.677300e-06,2.593080e-05
"86","Dibenzo(a,h)anthracene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,8.511700e-07,1.910550e-06,2.981915e-06,7.344000e-06
"87","Dibutyl phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,7.344000e-07,3.543475e-06,1.010537e-05,4.206250e-05,9.321480e-05
"88","Dichlobenil","KICCOMS8D_OUT",0.000000e+00,2.500000e+01,4.183000e-07,1.605000e-06,4.244100e-06,1.353130e-05,7.678300e-05
"89","Diesel Range Organics","KICCOMS8D_OUT",1.500000e+01,3.200000e+01,5.814000e-03,9.253000e-03,1.882900e-02,7.545960e-02,6.420960e-01
"90","Diethyl phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,2.167200e-06,6.689500e-06,1.406705e-05,3.177527e-05,3.388818e-04
"91","Dimethyl phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,3.192000e-07,1.026600e-06,2.272800e-06,8.088600e-06,1.223400e-04
"92","Fluoranthene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,2.326005e-06,3.930925e-06,1.370671e-05,4.698414e-05
"93","Fluorene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,3.228900e-07,7.816100e-07,2.253883e-06,6.112260e-06
"94","Gasoline Range Organics","KICCOMS8D_OUT",1.500000e+01,3.600000e+01,3.060000e-03,4.870000e-03,1.642500e-02,7.197500e-02,1.543500e-01
"95","Hardness as CaCO3","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,2.393200e-01,8.177100e-01,2.031750e+00,5.774380e+00,1.714475e+01
"96","Heavy Fuel Oil","KICCOMS8D_OUT",1.000000e+00,2.000000e+00,3.320428e-01,3.320428e-01,3.320428e-01,3.320428e-01,3.320428e-01
"97","HPAH","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,1.196215e-05,1.968334e-05,6.204146e-05,2.252893e-04
"98","Indeno(1,2,3-cd)pyrene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,9.102750e-07,2.079280e-06,3.211980e-06,7.344000e-06
"99","Lead","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,6.184500e-05,3.357700e-04,9.694000e-04,4.221780e-03,1.352106e-02
"100","Lead dissolved","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,1.869000e-06,5.893500e-06,2.158200e-05,3.548450e-05,2.071148e-04
"101","LPAH","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,2.876400e-07,2.704390e-06,6.913550e-06,1.265845e-05,1.144660e-04
"102","Lube Oil","KICCOMS8D_OUT",1.500000e+01,3.600000e+01,7.857000e-03,2.366820e-02,8.512000e-02,1.594966e-01,3.214431e-01
"103","Magnesium","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,1.795500e-02,8.033400e-02,1.766640e-01,5.414960e-01,1.852200e+00
"104","Malathion","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,4.005000e-07,1.497150e-06,3.420000e-06,1.072435e-05,2.901780e-05
"105","Mecoprop","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,4.450000e-06,1.593850e-05,3.275000e-05,1.177655e-04,3.087000e-04
"106","Mercury","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,4.450000e-07,1.607500e-06,3.280000e-06,1.098000e-05,3.087000e-05
"107","Mercury dissolved","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,4.450000e-07,1.607500e-06,3.280000e-06,1.089875e-05,3.087000e-05
"108","Naphthalene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,9.516175e-07,2.310255e-06,4.168495e-06,4.408236e-05
"109","Nitrite-Nitrate","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,3.242400e-03,6.116930e-03,9.662100e-03,2.590630e-02,1.535113e-01
"110","Ortho-phosphate dissolved","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,5.331100e-05,4.598505e-04,1.484210e-03,3.822420e-03,3.558360e-02
"111","p-Cresol","KICCOMS8D_OUT",0.000000e+00,8.000000e+00,6.251000e-07,2.688400e-06,5.468450e-06,1.436820e-05,1.476236e-04
"112","Pentachlorophenol","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-06,4.869000e-06,1.052400e-05,3.120095e-05,8.137800e-05
"113","Phenanthrene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.814200e-07,2.115315e-06,3.567450e-06,8.783043e-06,7.038360e-05
"114","Phenol","KICCOMS8D_OUT",0.000000e+00,8.000000e+00,1.518100e-06,3.448625e-06,1.528580e-05,3.158168e-05,4.042860e-05
"115","Prometon","KICCOMS8D_OUT",0.000000e+00,2.500000e+01,4.183000e-07,1.605000e-06,4.244100e-06,1.353130e-05,3.917500e-04
"116","Pyrene","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,5.094125e-06,9.744000e-06,2.850943e-05,8.396640e-05
"117","Surfactants","KICCOMS8D_OUT",0.000000e+00,2.900000e+01,6.369000e-04,2.121600e-03,4.285600e-03,8.665000e-03,4.606400e-02
"118","Total Benzofluoranthenes","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.250200e-07,1.327045e-06,3.137720e-06,4.641250e-06,2.038332e-05
"119","Total Kjeldahl Nitrogen","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,1.486100e-02,4.357190e-02,1.065540e-01,2.431360e-01,6.679260e-01
"120","Total PAH","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,5.027400e-07,1.709766e-05,2.705638e-05,7.651621e-05,3.397552e-04
"121","Total Phosphorus","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,1.408900e-03,8.488750e-03,1.269200e-02,5.646045e-02,1.475586e-01
"122","Total Phthalate","KICCOMS8D_OUT",0.000000e+00,3.000000e+01,1.542070e-05,4.126757e-05,1.006667e-04,5.612837e-04,1.108728e-03
"123","Total Suspended Solids","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,4.860800e-01,3.650400e+00,8.486400e+00,2.806330e+01,1.080450e+02
"124","Total TPHDx","KICCOMS8D_OUT",1.500000e+01,3.600000e+01,7.857000e-03,2.366820e-02,8.512000e-02,2.421239e-01,9.261000e-01
"125","Triclopyr","KICCOMS8D_OUT",0.000000e+00,2.500000e+01,4.450000e-06,1.605000e-05,3.270000e-05,1.192000e-04,3.087000e-04
"126","Zinc","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,8.339100e-04,3.207100e-03,5.508000e-03,2.105446e-02,5.093550e-02
"127","Zinc dissolved","KICCOMS8D_OUT",0.000000e+00,3.100000e+01,1.891400e-04,5.002950e-04,9.198000e-04,2.972348e-03,7.093910e-03
"128","2-Methylnaphthalene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,1.771900e-07,3.966800e-07,6.749200e-07,9.306000e-07
"129","2,4-D","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,2.000000e-06,9.378250e-06,1.940000e-05,3.479650e-05,3.768300e-04
"130","Acenaphthene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,1.771900e-07,3.647200e-07,6.298000e-07,9.306000e-07
"131","Acenaphthylene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,1.771900e-07,3.647200e-07,6.298000e-07,9.306000e-07
"132","Anthracene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,1.771900e-07,4.981000e-07,8.491950e-07,3.098700e-06
"133","Benz(a)anthracene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,3.760000e-08,1.771900e-07,6.373200e-07,3.593948e-06,1.754740e-05
"134","Benzo(a)pyrene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,9.320000e-08,3.179550e-07,7.552650e-07,4.657852e-06,2.590120e-05
"135","Benzo(b)fluoranthene","KICHDRS8D_OUT",0.000000e+00,1.200000e+01,1.654400e-07,3.488100e-07,7.778750e-07,3.259500e-06,1.841400e-05
"136","Benzo(g,h,i)perylene","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.654400e-07,4.319275e-07,1.200290e-06,3.459030e-06,1.798940e-05
"137","Benzo(k)fluoranthene","KICHDRS8D_OUT",0.000000e+00,1.200000e+01,1.654400e-07,2.506350e-07,6.599800e-07,4.440420e-06,2.197800e-05
"138","Benzofluoranthenes, Total","KICHDRS8D_OUT",0.000000e+00,8.000000e+00,3.760000e-07,1.064100e-06,5.019600e-06,1.624330e-05,4.906200e-05
"139","Bis(2-ethylhexyl) phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.584000e-06,1.872083e-05,3.541620e-05,5.466575e-05,1.339200e-04
"140","Butyl benzyl phthalate","KICHDRS8D_OUT",0.000000e+00,2.000000e+01,1.880000e-07,1.036350e-06,2.233800e-06,4.827600e-06,2.450780e-05
