"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PPCC_test","wilcoxon_pvalue"
"11","dry   Benzo(a)pyrene","B",73.6,125,33,92,1.149e-07,0.000536762755287,1.1468e-07,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80803423040206e-05,3.25238516846767e-07,5.6369756187028e-07,2.94410638447809e-06,7.50998291206401e-05,9.16366363888783e-05,0.975984179687085,NA,NA
"12","dry   Benzo(b)fluoranthene","B",66.7,72,24,48,1.266e-07,0.000482544295157,3.29e-07,0.0003252750816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8059515258811e-05,6.2452049404219e-07,9.05677366350046e-07,1.42735857636e-05,0.00014828970141,9.98923030678459e-05,0.962550518667206,NA,NA
"13","dry   Benzo(b,k)fluoranthene","B",75,24,6,18,3.3835998833e-05,0.001701556512,3.768540762e-06,0.0018210849684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.963893734701167,NA,NA
"14","dry   Benzo(g,h,i)perylene","B",63.2,125,46,79,1.248e-07,0.00095287164672,2e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.18294671707381e-05,7.57836231333017e-07,1.58887362132577e-06,1.31158320576e-05,0.000100284711747,0.000126545146107594,0.978769531085392,NA,NA
"15","dry   Benzo(k)fluoranthene","B",72.2,72,20,52,7.32e-08,0.000482544295157,3.29e-07,0.0003252750816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95909563456628e-05,3.84500598889625e-07,4.82320558213811e-07,2.749125e-06,0.00010734304229,8.69103747171217e-05,0.95775767153299,NA,NA
"16","dry   Benzofluoranthenes, Total","B",65.5,29,10,19,2.979e-07,0.0002747295936,1.1468e-06,0.004676927282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973660993908914,NA,NA
"17","dry   Bis(2-ethylhexyl) phthalate","A",43.5,124,70,54,4.2457077248e-06,0.0710223137676,8.84e-07,0.0251830363776,0.00281805965546359,0.000881440657716938,0.0010904677118291,0.00454565159909809,1.22032948609851e-05,6.76635599359959e-05,0.000758323903999991,0.00429479396731999,0.00981530776397164,0.00730689878388402,12.0223768061199,3,NA,NA,NA,NA,NA,NA,0.990966229238395,NA,NA
"18","dry   BTEX","C",100,24,0,24,NA,NA,9.91088e-06,0.0023219776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","dry   Butyl benzyl phthalate","C",84.8,125,19,106,3.16e-07,0.00571288631502,8.1098748864e-07,0.0511421361959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","dry   Cadmium","A",19.5,123,99,24,1.59e-07,0.0188178780068,6.1e-07,0.0005097024,0.00073194446738404,0.000230752276437015,0.000279678316216861,0.00118421061855122,4.44454206629391e-06,2.66341392861948e-05,0.000185305139199995,0.001319603954487,0.00255916654576179,0.000164484924324415,20.0659299810361,3,NA,NA,NA,NA,NA,NA,0.998040257480818,NA,NA
