"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.25ile","KM.median","KM.75ile","KM.90ile","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS.mean","ROS.25ile","ROS.median","ROS.75ile","ROS.90ile","ROS.SD","ROS_correlation","PPCC_test","wilcoxon_pvalue"
"85","dry   Total Xylenes","C",100,24,0,24,NA,NA,9.91088e-06,0.0023219776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","dry   TPHGx","C",100,7,0,7,NA,NA,0.0001645,0.008265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","dry   Triclopyr","C",82.6,109,19,90,4.6818e-06,0.004546804626,2.1228538624e-07,0.03403113024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","dry   Zinc","A",2.5,119,116,3,2.74e-05,5.94887756344,6.796032e-05,7.928704e-05,0.291807535059329,0.0795921811127216,0.135809726627406,0.447805343491252,0.00244788230553894,0.0224107650240004,0.12125820096,0.671018112576,0.868248190334626,0.0236402175976554,9.47115439021742,3,NA,NA,NA,NA,NA,NA,0.996672076157219,NA,NA
"89","dry   Zinc dissolved","A",2.6,117,114,3,6.65525814321e-06,1.85143638454,6.796032e-05,7.928704e-05,0.0961873682265927,0.0245487007159827,0.0480727989560139,0.144301937497171,0.00120889999999774,0.0079522069439979,0.0646033633599976,0.243737040114998,0.265534797532486,0.0143469339720664,10.5618826667831,3,NA,NA,NA,NA,NA,NA,0.990143504809723,NA,NA
"90","wet   1-Methylnaphthalene","C",95,222,11,211,5.4299332906e-06,0.00473311913984,2.15e-07,0.002092951322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","wet   2-Methylnaphthalene","B",80,491,98,393,7.7562e-07,0.0215357546675,2.068e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000154466456523267,1.03451295303266e-07,2.23478214687594e-07,3.56816535599721e-07,4.2044728012e-05,0.00144370031362006,0.991536985910425,NA,NA
"92","wet   2,4-D","C",85.8,451,64,387,1.70750304e-06,0.029649346545,2.107e-07,0.157678759437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","wet   Acenaphthene","C",88.8,491,55,436,2.08977984e-06,0.0028956193344,2.068e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","wet   Acenaphthylene","C",92.9,491,35,456,1.1826e-06,0.0027432183168,2.068e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","wet   Ammonia","A",0,53,53,0,0.0037785824664,2.81478053376,NA,NA,0.322891794430325,0.062308048504662,0.200770263414212,0.445013325446437,0.0263256758939994,0.166529968128,0.427900828159999,0.724383387519999,0.45360944010056,1.66931266587511e-08,35.8165375584607,2,NA,NA,NA,NA,NA,NA,0.96704911690757,NA,NA
"96","wet   Anthracene","C",89,491,54,437,3.146e-07,0.002286015264,2.068e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","wet   Arsenic dissolved","A",0,14,14,0,8.8e-07,0.000292864,NA,NA,4.22067142857143e-05,2.18465410417353e-05,-6.11719342863058e-07,8.50251479142917e-05,3.65200000000004e-06,7.68000000000003e-06,3.72750000000001e-05,0.000148428,8.17422716642691e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976601739033694,NA,NA
"98","wet   Benz(a)anthracene","B",64.5,409,145,264,9.746e-08,0.00267165609984,3.76e-08,0.002092951322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44083569841132e-05,5.99191123632974e-07,1.82231266409162e-06,8.2164140132e-06,5.9951054714e-05,0.000195923203740271,0.985829111289296,NA,NA
"99","wet   Benzene","C",98.4,64,1,63,0.0012133182464,0.0012133182464,1.41584e-05,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","wet   Benzo(a)pyrene","B",70.9,488,142,346,9.32e-08,0.00237480542208,1.2502e-07,0.002092951322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07344129993752e-05,5.88503501933892e-07,1.23986688197883e-06,4.16767901850124e-06,6.19142301312e-05,0.000220909677604151,0.994184608770352,NA,NA
"101","wet   Benzo(b)fluoranthene","B",69.6,270,82,188,2.354e-07,0.0010631117808,1.2502e-07,0.001025526326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61338295965029e-05,6.94906320991874e-07,1.50579e-06,5.43169095963434e-06,7.21233115285e-05,0.000124413135834026,0.958879557613402,NA,NA
"102","wet   Benzo(b,k)fluoranthene","A",45.1,102,56,46,2.9812133184e-06,0.004873038112,1.04488992e-06,0.0021132204873,0.00028207226517929,7.03193156735482e-05,0.000144248939041632,0.000419895591316947,2.98121331839853e-06,3.52232675199984e-05,0.000203120144604998,0.000689259228999998,0.000710190275907241,2.51162424191875e-11,48.8150102811945,2,NA,NA,NA,NA,NA,NA,0.993358356827413,NA,NA
"103","wet   Benzo(g,h,i)perylene","B",58.8,490,202,288,1.2232e-07,0.0029685067776,1.2502e-07,0.0011028147664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85471437245599e-05,1.23008039764911e-06,3.02055891929093e-06,2.0007603159e-05,0.0001554442977672,0.000351876802140752,0.993559309278602,NA,NA
"104","wet   Benzo(k)fluoranthene","B",76.3,270,64,206,1.8282e-07,0.003486364416,1.2502e-07,0.001025526326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11548160111172e-05,2.8317787945121e-07,4.92219143394193e-07,7.81249411989524e-07,5.54322880768e-05,0.00024104708203883,0.98440045241195,NA,NA
"105","wet   Benzofluoranthenes, Total","B",51.3,119,58,61,8.16e-07,0.00613491400704,2.1902e-07,0.00210693982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000211064712188378,3.33437046132072e-06,7.0159930725806e-06,2.48532674169e-05,0.00029081127064,0.000798523686312799,0.992837316582479,NA,NA
"106","wet   Bis(2-ethylhexyl) phthalate","A",36.6,481,305,176,1.06863e-05,0.1578864348288,1.0956e-06,0.129272145765,0.00482177391385864,0.000649356342826798,0.00354905886878547,0.0060944889589318,2.59465705679807e-05,0.000342820170879998,0.00232377005343998,0.01041003450832,0.0142414964257721,9.56305306831773e-07,30.7570286860301,3,NA,NA,NA,NA,NA,NA,0.988563091137043,NA,NA
"107","wet   BTEX","C",95.3,64,3,61,0.00010877049216,0.0029866295296,1.41584e-05,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","wet   Butyl benzyl phthalate","B",75.1,490,122,368,4.08e-07,0.034111266784,1.034e-07,0.051950488485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000342221488262563,2.3505400783838e-06,4.91772010527183e-06,8.6644e-06,0.000152800242015,0.00232814259158219,0.994941117607481,NA,NA
"109","wet   Cadmium","A",26.9,498,364,134,2.322e-07,0.05189195184,1.1e-07,0.004185902644,0.000865428547353185,0.000155558702657953,0.000560539092661823,0.00117031800204455,3.47555306151603e-06,3.76693406626133e-05,0.000247009825011205,0.00166482091534001,0.00347143456893075,8.77129702203661e-10,45.1091843497463,3,NA,NA,NA,NA,NA,NA,0.996961945070765,NA,NA
"110","wet   Cadmium dissolved","A",48.5,497,256,241,1.4405e-07,0.02291961792,1.1e-07,0.03251108442,0.000278962381841495,6.27838372547946e-05,0.000155908322010873,0.000402016441672116,6.79199999992219e-07,4.51922535939231e-06,4.80908245199946e-05,0.000367163274335988,0.00139967127553471,0.000148435819550152,20.2809973458787,3,NA,NA,NA,NA,NA,NA,0.995335765493815,NA,NA
"111","wet   Calcium","A",0,268,268,0,0.00594,295.1452135296,NA,NA,12.5359739060833,1.80213189813677,9.00386029034443,16.0680875218222,0.121427793103976,0.826449339178964,6.97725951999996,45.65423369056,29.5021706553872,1.38185743307243e-26,123.467972985795,3,NA,NA,NA,NA,NA,NA,0.981979591446129,NA,NA
"112","wet   Chloride","A",1.4,430,424,6,0.001054,805.43393,0.00341500608,0.02863961152,26.4161718956594,3.83613294995606,18.8974894738382,33.9348543174807,0.161473720320146,1.48527279359996,14.0725412880001,60.1965761004001,79.5477459403318,2.48313625217378e-09,42.9816848817427,3,NA,NA,NA,NA,NA,NA,0.993844731093214,NA,NA
"113","wet   Chlorpyrifos","C",100,483,0,483,NA,NA,5.16e-08,0.005212556544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","wet   Chrysene","B",50.5,491,243,248,1.62e-07,0.0035580172474,1.2502e-07,0.001230648128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011093872303343,2.14861745838454e-06,5.82285876492575e-06,3.91410780264e-05,0.00020098605798,0.000366833930826793,0.994356281757504,NA,NA
"115","wet   Copper","A",0,491,491,0,6.1705e-06,1.420370688,NA,NA,0.0682427599123088,0.0085398841998888,0.0515048944483841,0.0849806253762335,0.000658647635220611,0.00386761711270056,0.0212398681756802,0.197983703232,0.189231193185552,4.15982775738776e-13,60.702842245171,3,NA,NA,NA,NA,NA,NA,0.99332863662471,NA,NA
"116","wet   Copper dissolved","A",2.5,476,464,12,4.429e-06,1.28418783459,4.240399570494e-05,0.178766940732,0.020036145282906,0.00360128617225531,0.0129777540872634,0.0270945364785485,0.000233574183009955,0.00131505880982985,0.00626206210239988,0.0470289625011,0.0785707881911031,9.33512752099297e-07,30.8067945865085,3,NA,NA,NA,NA,NA,NA,0.99474328472405,NA,NA
"117","wet   CPAH","A",45.7,494,268,226,2.552e-07,0.01226982801408,1.2502e-07,0.001230648128,0.000357577832853234,5.69582716511543e-05,0.000245941671795322,0.000469213993911145,1.62204293760113e-06,1.54439827199995e-05,0.000156200000000002,0.000689144149359999,0.00126596085503716,8.22437451730718e-06,26.3071747943773,3,NA,NA,NA,NA,NA,NA,0.993590941728548,NA,NA
"118","wet   Di-N-Octyl Phthalate","C",87.9,489,59,430,4.2908e-07,0.00652286549376,5.28e-08,0.035804165822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","wet   Diazinon","C",99,483,5,478,1.10370843e-05,0.00023728589248,5.16e-08,0.005212556544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","wet   Dibenzo(a,h)anthracene","C",87.8,491,60,431,4.554e-08,0.003486364416,6.298e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","wet   Dibutyl phthalate","B",66.9,490,162,328,8.58e-08,0.046312450975,3.51e-07,0.040638855525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000954143820827422,2.30969939771653e-06,5.46699835652697e-06,2.5262548952033e-05,0.0004894536106949,0.00457499702092214,0.992119449267048,NA,NA
"122","wet   Dichlobenil","B",64.5,454,161,293,1.595e-07,0.0162665178044,5.16e-08,0.003139426983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000345825986339457,4.90122398529861e-07,1.50993861065382e-06,3.6150713512e-05,0.000367760137548,0.00150212552509504,0.97988027053256,NA,NA
"123","wet   Diesel Fuel","A",45.5,44,24,20,0.0018507,0.0323328443175,0.000215,0.01457571884,0.00570320194463959,0.00106285007341382,0.00362005407978275,0.00778634980949643,NA,0.002352248259,0.0064356780658,0.016751227792,0.00705014980383066,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988800916787781,NA,NA
"124","wet   Diesel Range Organics","A",34,268,177,91,0.00075311927616,15.697134915,0.001064,19.492152448,0.711841494552335,0.127514480934645,0.461917704413112,0.961765284691558,0.0106754336000208,0.0615324064000191,0.31219272000002,1.81533341440002,2.08750201994454,3.7604919178591e-11,51.5362102182921,3,NA,NA,NA,NA,NA,NA,0.995515783478433,NA,NA
"125","wet   Diethyl phthalate","B",68.8,491,153,338,2.684e-07,0.04697608739968,1.96268e-06,0.0726904121825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000417672309811189,8.15109227239495e-06,1.1335201351518e-05,1.35737126905989e-05,6.21150316415e-05,0.00278872879917175,0.958691878782569,NA,NA
"126","wet   Dimethyl phthalate","C",84.7,491,75,416,4.316e-07,0.003019845136,5.28e-08,0.0767175818325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","wet   Ethylbenzene","C",100,64,0,64,NA,NA,1.41584e-05,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","wet   Fluoranthene","A",37.1,490,308,182,2.372e-07,0.00583806332928,1.2502e-07,0.00105346991,0.000212007491802819,2.64568726012692e-05,0.000160152974360767,0.000263862009244871,2.59700000000002e-06,2.03272941663984e-05,0.0001236877824,0.000542216740847999,0.0005856478402944,3.04481532209522e-08,37.8473521264664,3,NA,NA,NA,NA,NA,NA,0.993636015783963,NA,NA
"129","wet   Fluorene","C",85.7,491,70,421,2.662e-07,0.004572030528,2.068e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","wet   Gasoline Range Organics","C",90,271,27,244,0.0044618385322,1.75429372032,0.00070288527296,3.81002544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","wet   Hardness as CaCO3","A",0.4,497,495,2,0.015265,6225.87266643,0.0496,2.565246549,213.393632281274,31.6604107665768,151.340367443039,275.446897119509,1.09088000000156,9.99356505600008,69.2430710400004,324.261340160001,705.821266415558,1.56262780492966e-11,53.3254759522998,3,NA,NA,NA,NA,NA,NA,0.99571166110297,NA,NA
"132","wet   Heavy Fuel Oil","A",19.7,157,126,31,0.00142696283904,49.0086503136,0.003579016986,29.238228672,1.44773696522094,0.418749322306003,0.627003374950617,2.26847055549126,0.0565158021119885,0.206735293439991,0.859188345599989,2.19809159999998,5.24691396959037,1.47753698165332e-10,48.7458206772155,3,NA,NA,NA,NA,NA,NA,0.997416158105572,NA,NA
"133","wet   HPAH","A",30,493,345,148,4.928e-07,0.03235672387584,1.2502e-07,0.00210693982,0.00092431228762108,0.000129003682216175,0.000671469716604328,0.00117715485863783,8.82265999999771e-06,6.1585098308399e-05,0.000498804113184002,0.00210037315488,0.00286434658560876,1.73293868144242e-09,43.717329312592,3,NA,NA,NA,NA,NA,NA,0.992264107099684,NA,NA
"134","wet   Indeno(1,2,3-cd)pyrene","B",71.3,491,141,350,1.166e-07,0.00237480542208,1.2502e-07,0.002092951322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67481833180031e-05,5.27115475657001e-07,1.15858824571182e-06,3.66414564327112e-06,6.77227009512e-05,0.000206198020358477,0.993873155425432,NA,NA
"135","wet   Lead","A",0,495,495,0,3.114848e-06,3.13110821448,NA,NA,0.0647967412913317,0.0102022087688142,0.0448007795416972,0.0847927030409663,0.000231277209129743,0.00168546734441932,0.0157497450302992,0.1745473838364,0.226984815708942,1.58541321626033e-14,67.3378989295744,3,NA,NA,NA,NA,NA,NA,0.989982652937503,NA,NA
"136","wet   Lead dissolved","A",21.7,489,383,106,3.96e-07,0.113563783284,5.348933083e-07,0.09753325326,0.00266712699894636,0.000424072472224666,0.00183596022655116,0.00349829377134157,7.2071999999701e-06,4.15919999999792e-05,0.000279928558079956,0.00625716329599996,0.00937766062356086,0.000614728517805196,17.294422572044,3,NA,NA,NA,NA,NA,NA,0.983957817744614,NA,NA
"137","wet   LPAH","A",37.2,494,310,184,1.5114e-07,0.01852074901405,3.76e-08,0.0019299258412,0.000341238744670442,7.29785434834773e-05,0.000198203427798636,0.000484274061542247,2.47159999999802e-06,1.75155200000006e-05,0.000114465960000001,0.000613341888,0.00162202919136219,5.67514130334068e-06,27.0760475341714,3,NA,NA,NA,NA,NA,NA,0.997300874208514,NA,NA
"138","wet   Lube Oil","A",45,40,22,18,0.007857,0.3214431,0.001064,0.016587,0.0610476028947368,0.0142443472519042,0.0331291952977225,0.0889660104917512,NA,0.014124,0.08512,0.1708682,0.0900891621967552,4.94904918157957e-08,33.6429705404015,2,NA,NA,NA,NA,NA,NA,0.961606739339057,NA,NA
"139","wet   Magnesium","A",0,268,268,0,0.0014234,79.7801487552,NA,NA,2.79244866044756,0.435645699473656,1.93859877945943,3.64629854143568,0.0194166000000138,0.214291631550012,1.625597262336,9.94869425472001,7.13182746748201,1.14134913310448e-30,142.411721936914,3,NA,NA,NA,NA,NA,NA,0.981518401011514,NA,NA
"140","wet   Malathion","C",99.2,482,4,478,3.54123e-06,0.00012884144,5.16e-08,0.010425113088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","wet   Mecoprop","C",91.6,462,39,423,4.350593152e-06,0.0083018170326,2.107e-07,5.232378305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","wet   Mercury","C",81.4,355,66,289,1.972e-08,0.0342991940631,1.1e-07,0.010067924125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","wet   Mercury dissolved","C",93.4,346,23,323,5.79e-09,0.0121916566575,1.698e-08,0.010067924125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","wet   Motor Oil","A",23,74,57,17,0.0029480337312,36.2915471168,0.003798302284,0.416398544,2.65324036568021,0.726618254901613,1.22909475556371,4.07738597579672,0.0082986375058951,0.0646656886349959,2.523366681,6.492900655,6.25060657363457,1.2663159217885e-06,27.1587974442021,2,NA,NA,NA,NA,NA,NA,0.967651055062596,NA,NA
"145","wet   Naphthalene","B",60.8,485,190,295,9.2e-08,0.0111985924271,2.068e-08,0.0023037741447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137923778864899,6.6297e-07,1.99523780723914e-06,1.3073872045e-05,0.00010672385810592,0.00090343808815408,0.995937923553919,NA,NA
"146","wet   Nitrite-Nitrate dissolved","A",3.7,454,437,17,0.0001075,185.652520865,6.06e-05,0.00590761986711,4.32494863981628,0.86613520599571,2.6273548303225,6.02254244931005,0.0103791492589949,0.0703146897089937,0.734792643200024,3.11760003104001,18.4549816732397,1.61710584478669e-07,34.4176684247418,3,NA,NA,NA,NA,NA,NA,0.996355711586585,NA,NA
"147","wet   Oil and grease","C",92.9,14,1,13,0.0119126,0.0119126,0.001075,0.019105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","wet   Ortho-phosphate dissolved","A",7.1,462,429,33,3.472e-05,4.6312450975,5.78263036e-05,3.07409616134,0.121749124540966,0.0198909716718017,0.0827635364467282,0.160734712635204,0.000880256044799133,0.00832797087999904,0.0499508351999989,0.240283431079999,0.427540230119189,6.90248651569192e-07,31.4294328897785,3,NA,NA,NA,NA,NA,NA,0.993531494573431,NA,NA
"149","wet   p-Cresol","C",90.5,21,2,19,2.32578e-05,0.0001476236,1.034e-07,1.4877e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","wet   PCB-aroclor 1016","C",100,21,0,21,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","wet   PCB-aroclor 1221","C",100,21,0,21,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","wet   PCB-aroclor 1232","C",100,21,0,21,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","wet   PCB-aroclor 1242","C",100,21,0,21,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","wet   PCB-aroclor 1248","C",95.2,21,1,20,2.9030949696e-05,2.9030949696e-05,2.477153664e-07,0.00024325263872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","wet   PCB-aroclor 1254","B",52.4,21,10,11,4.0499423594e-06,0.00050388046592,2.477153664e-07,1.926816656e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985217303603691,NA,NA
"156","wet   PCB-aroclor 1260","B",71.4,21,6,15,2.2035680689e-06,0.00033012858112,2.477153664e-07,7.835824896e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984344467910484,NA,NA
"157","wet   Pentachlorophenol","B",75.1,457,114,343,5.7835e-07,0.019733131285,2.068e-07,0.126793229238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000200260017158438,1.08123933566113e-06,2.6322955303675e-06,4.89668681069836e-06,0.00012975452649084,0.00125574546202832,0.996957538966183,NA,NA
"158","wet   Phenanthrene","A",46.1,490,264,226,1.5114e-07,0.00473786602685,3.76e-08,0.001230648128,0.000144458725984828,2.12398945361582e-05,0.000102829297658529,0.000186088154311127,1.35329999999961e-06,8.31219999999997e-06,6.04192729919996e-05,0.000326496102016,0.000470165107972177,9.51912726421256e-09,40.2309589039601,3,NA,NA,NA,NA,NA,NA,0.994959645140259,NA,NA
"159","wet   Phenol","B",61.9,21,8,13,3.7632e-06,4.41612e-05,1.034e-07,1.91666e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928729228211655,NA,NA
"160","wet   Prometon","C",96.7,451,15,436,1.00853398048e-05,0.0029810794368,5.16e-08,0.0155046031525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","wet   Pyrene","A",33.1,490,328,162,2.004e-07,0.00514541174784,1.2502e-07,0.001524010176,0.000230606522033726,2.74187537713762e-05,0.000176866752140856,0.000284346291926595,4.74787785499989e-06,2.365019136e-05,0.000144076727904,0.00060336941885,0.000606939987646164,3.56180618332758e-09,42.243634574435,3,NA,NA,NA,NA,NA,NA,0.994305381715393,NA,NA
"162","wet   Surfactants","A",37.8,474,295,179,0.00011,9.649629206,9.7e-05,1.046475661,0.241009979966481,0.0377078423358402,0.16710396705352,0.314915992879443,0.000972400000000206,0.00525230000000043,0.0867979099019998,0.526734955,0.820957837588541,1.56424903108299e-06,29.7413061323999,3,NA,NA,NA,NA,NA,NA,0.989516421595228,NA,NA
"163","wet   Toluene","C",95.3,64,3,61,0.00010877049216,0.00096598798848,1.41584e-05,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","wet   Total Benzofluoranthenes","B",60.3,494,196,298,4.1822e-07,0.00613491400704,1.2502e-07,0.0021132204873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000145491526283333,1.3202033046539e-06,3.87109191476029e-06,3.5124271986e-05,0.0002310162669774,0.000570096362900962,0.988966919180258,NA,NA
"165","wet   Total Kjeldahl Nitrogen","A",10.8,453,404,49,0.000924,129.580735052,0.001075,10.9214358,4.48289903349673,0.703006802132857,3.10503102042965,5.8607670465638,0.0341880000000003,0.282831369868006,1.365113964144,8.66499177023999,14.9626538228288,8.99858818015353e-07,30.8825381424929,3,NA,NA,NA,NA,NA,NA,0.997290443566196,NA,NA
"166","wet   Total PAH","A",24.5,494,373,121,5.0274e-07,0.03928323969024,2.15e-07,0.00210693982,0.00128103285985648,0.000179718106435255,0.000928791843873648,0.00163327387583932,1.26784100000013e-05,8.44773270600035e-05,0.00066048878753,0.00316416018616,0.00399443454116509,5.80042736064712e-09,41.2454653136537,3,NA,NA,NA,NA,NA,NA,0.99404593886275,NA,NA
"167","wet   Total PCB","A",47.6,21,11,10,2.2035680689e-06,0.00083400904704,2.477153664e-07,3.853633312e-05,8.56606940383153e-05,4.4649487053035e-05,-1.85069251382077e-06,0.000173172080590451,NA,4.04994235940026e-06,5.34819401600002e-05,0.00016589114112,0.000204609654161484,8.71228614363062e-07,27.9067228423174,2,NA,NA,NA,NA,NA,NA,0.988582123321754,NA,NA
"168","wet   Total Phosphorus","A",3.8,452,435,17,4.3e-05,19.7128139494,4.96e-05,1.9332571146,0.620089803482906,0.0966656344237904,0.430628641469561,0.80955096549625,0.00483268667199965,0.0444855625469991,0.185745522047998,1.17306308352,2.05513957801079,5.07602404553609e-10,46.226558467459,3,NA,NA,NA,NA,NA,NA,0.996574436324836,NA,NA
"169","wet   Total Phthalate","A",21.1,494,390,104,3.542e-07,0.27893270153088,2.15e-06,0.105661024365,0.00634068495978157,0.000926201010000001,0.00452536433773695,0.00815600558182619,3.75870973399195e-05,0.000443913978559918,0.00285037191967991,0.0139138066787999,0.0205858462443729,8.71961218740225e-06,26.1859274310127,3,NA,NA,NA,NA,NA,NA,0.994139084099336,NA,NA
"170","wet   Total Suspended Solids","A",0.2,470,469,1,0.01376,11979.89229888,0.182,0.182,280.654661925809,51.8615794446036,179.007834033023,382.301489818595,1.88306720000037,15.4976300000017,82.8153869269008,463.030083904003,1124.33225007993,2.2564538315617e-07,33.7323301760923,3,NA,NA,NA,NA,NA,NA,0.997143107830763,NA,NA
"171","wet   Total TPHDx","A",21.5,326,256,70,0.0018507,60.8070290928,0.000215,29.238228672,1.87698920076767,0.32581156779489,1.23841026214315,2.51556813939218,0.0204139209215981,0.143262053567994,1.11203097847199,4.62909454336,5.88268101575484,8.55785017295219e-08,35.725753516633,3,NA,NA,NA,NA,NA,NA,0.99117321047227,NA,NA
"172","wet   Total Xylenes","C",98.4,64,1,63,0.00080732329472,0.00080732329472,1.41584e-05,0.00871591104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","wet   TPHGx","C",100,14,0,14,NA,NA,0.0001075,0.0019105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
