"","ParamList.i.","case.code","pctCensor","nSamples","num.Detects","num.nonDetects","min.Detects","max.Detects","min.nonDetects","max.nonDetects","KM.mean","KM.mean.SE","KM.mean.95LCL","KM.mean.95UCL","KM.median","KM.SD","PetoPrentice.pvalue","PetoPrentice.chisq","PetoPrentice.df","ROS_correlation","PPCC_test","MLE.mean","MLE.mean.SE","MLE.mean.95LCL","MLE.mean.95UCL","MLE.median","MLE.SD"
"49","LPAH water  (ug/L)","A",38.8,619,379,240,1.33e-07,0.01852074901405,3.76e-08,0.002338463641,0.000301911540909697,5.89556401063653e-05,0.000186360609615716,0.000417462472203678,1.34999777663992e-05,0.00146679926462943,7.50429195450764e-07,31.2570680405908,3,0.997331551371945,NA,NA,NA,NA,NA,NA,NA
"50","Lube Oil water  (ug/L)","A",50,44,22,22,0.007857,0.3214431,0.001064,0.016587,0.0562209190082645,0.0131619470190383,0.030423976884525,0.0820178611320039,0.007857,0.0873064795453736,1.24895616071541e-09,41.0019154585939,2,0.959432365935125,NA,NA,NA,NA,NA,NA,NA
"51","Magnesium water  (ug/L)","A",0,341,341,0,0.0014234,79.7801487552,NA,NA,2.51322973617637,0.35395994429859,1.81948099338133,3.20697847897141,0.199806568903014,6.53628992466221,1.27018074652872e-36,170.003708184965,3,0.982081609047084,NA,NA,NA,NA,NA,NA,NA
"52","Magnesium water dissolved (ug/L)","A",0,2,2,0,0.0094206850429,0.0113858766273,NA,NA,0.0104032808351,0.0009825957922,0.0084774284710274,0.0123291331991726,NA,0.00138960029565998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Malathion water  (ug/L)","C",98.8,604,7,597,3.54123e-06,0.000174222774146,5.16e-08,0.010425113088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Mecoprop water  (ug/L)","C",89.4,577,61,516,3.8556e-06,0.037939270175,2.107e-07,5.232378305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Mercury water  (ug/L)","B",77.8,446,99,347,1.972e-08,0.0342991940631,5.307134656e-08,0.010067924125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957642737302644,NA,0.000240783427509203,0.0125617737989362,9.02035243720368e-05,0.000642731637889887,2.18541846171274e-07,0.265288484098228
"56","Mercury water dissolved (ug/L)","C",92,435,35,400,5.79e-09,0.0121916566575,1.698e-08,0.010067924125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Motor Oil water  (ug/L)","A",18.6,97,79,18,0.0029480337312,36.2915471168,0.003798302284,0.416398544,2.34843960749344,0.573037801477399,1.22530615481772,3.47157306016915,0.0489125515878968,5.64376782180477,8.0548081093923e-08,32.6688231012493,2,0.970136178677477,NA,NA,NA,NA,NA,NA,NA
"58","Naphthalene water  (ug/L)","B",62.3,610,230,380,2.6e-08,0.0111985924271,2.068e-08,0.002338463641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996046044864696,NA,0.000345898273300969,0.00237979677992331,0.000184311726069131,0.000649148147132621,2.03556266992783e-06,0.058776644642046
"59","Nitrite-Nitrate water dissolved (ug/L)","A",4.1,566,543,23,0.0001075,185.652520865,6.06e-05,0.00590761986711,4.2585037345926,0.738778329733854,2.81052481575559,5.70648265342961,0.069916251982022,17.576093877598,8.17603817981905e-09,40.5425077130738,3,0.995486754021169,NA,NA,NA,NA,NA,NA,NA
"60","Oil and grease water  (ug/L)","C",95.2,21,1,20,0.0119126,0.0119126,0.001075,0.041325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Ortho-phosphate water dissolved (ug/L)","A",7.7,572,528,44,3.472e-05,4.6312450975,3.4538567296e-05,3.07409616134,0.117601528244566,0.0169699265279583,0.0843410834294774,0.150861973059655,0.00761240534400187,0.405861612425196,4.04450373192589e-09,41.9835509086736,3,0.995233462837597,NA,NA,NA,NA,NA,NA,NA
"62","p-Cresol water  (ug/L)","C",92.3,26,2,24,2.32578e-05,0.0001476236,1e-07,1.4877e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PCB-aroclor 1016 water  (ug/L)","C",100,27,0,27,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","PCB-aroclor 1221 water  (ug/L)","C",100,27,0,27,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","PCB-aroclor 1232 water  (ug/L)","C",100,27,0,27,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","PCB-aroclor 1242 water  (ug/L)","C",100,27,0,27,NA,NA,2.477153664e-07,0.000105346991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","PCB-aroclor 1248 water  (ug/L)","C",96.3,27,1,26,2.9030949696e-05,2.9030949696e-05,2.477153664e-07,0.00024325263872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
